timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730402813586,453,Login Request,200,OK,Thread Group 1-196,text,true,,875,452,211,211,http://gryffindor.hogwarts.A49.com/php/home.php,112,0,17
1730402813586,137,Login Request-0,302,Found,Thread Group 1-196,text,true,,375,264,211,211,http://gryffindor.hogwarts.A49.com/php/login.php,112,0,17
1730402813745,294,Login Request-1,200,OK,Thread Group 1-196,text,true,,500,188,211,211,http://gryffindor.hogwarts.A49.com/php/home.php,292,0,0
1730402811537,2510,Login Request,200,OK,Thread Group 1-86,text,true,,875,452,211,211,http://gryffindor.hogwarts.A49.com/php/home.php,2036,0,608
1730402811537,2214,Login Request-0,302,Found,Thread Group 1-86,text,true,,375,264,211,211,http://gryffindor.hogwarts.A49.com/php/login.php,2036,0,608
1730402813751,296,Login Request-1,200,OK,Thread Group 1-86,text,true,,500,188,211,211,http://gryffindor.hogwarts.A49.com/php/home.php,296,0,0
1730402811781,2269,Login Request,200,OK,Thread Group 1-115,text,true,,875,452,212,212,http://gryffindor.hogwarts.A49.com/php/home.php,1790,0,508
1730402811781,1966,Login Request-0,302,Found,Thread Group 1-115,text,true,,375,264,212,212,http://gryffindor.hogwarts.A49.com/php/login.php,1790,0,508
1730402813747,303,Login Request-1,200,OK,Thread Group 1-115,text,true,,500,188,212,212,http://gryffindor.hogwarts.A49.com/php/home.php,303,0,0
1730402811532,2519,Login Request,200,OK,Thread Group 1-60,text,true,,875,452,212,212,http://gryffindor.hogwarts.A49.com/php/home.php,2154,0,737
1730402811532,2241,Login Request-0,302,Found,Thread Group 1-60,text,true,,375,264,212,212,http://gryffindor.hogwarts.A49.com/php/login.php,2154,0,737
1730402813774,277,Login Request-1,200,OK,Thread Group 1-60,text,true,,500,188,212,212,http://gryffindor.hogwarts.A49.com/php/home.php,277,0,0
1730402811400,2653,Login Request,200,OK,Thread Group 1-71,text,true,,875,452,212,212,http://gryffindor.hogwarts.A49.com/php/home.php,2172,0,859
1730402811400,2349,Login Request-0,302,Found,Thread Group 1-71,text,true,,375,264,212,212,http://gryffindor.hogwarts.A49.com/php/login.php,2172,0,859
1730402813750,303,Login Request-1,200,OK,Thread Group 1-71,text,true,,500,188,212,212,http://gryffindor.hogwarts.A49.com/php/home.php,303,0,0
1730402811902,2136,Login Request,200,OK,Thread Group 1-134,text,true,,875,452,211,211,http://gryffindor.hogwarts.A49.com/php/home.php,1609,0,243
1730402811902,1823,Login Request-0,302,Found,Thread Group 1-134,text,true,,375,264,211,211,http://gryffindor.hogwarts.A49.com/php/login.php,1609,0,243
1730402813740,298,Login Request-1,200,OK,Thread Group 1-134,text,true,,500,188,211,211,http://gryffindor.hogwarts.A49.com/php/home.php,297,0,0
1730402811531,2507,Login Request,200,OK,Thread Group 1-14,text,true,,875,452,211,211,http://gryffindor.hogwarts.A49.com/php/home.php,1989,0,721
1730402811531,2200,Login Request-0,302,Found,Thread Group 1-14,text,true,,375,264,211,211,http://gryffindor.hogwarts.A49.com/php/login.php,1989,0,721
1730402813741,297,Login Request-1,200,OK,Thread Group 1-14,text,true,,500,188,211,211,http://gryffindor.hogwarts.A49.com/php/home.php,281,0,0
1730402812334,1722,Login Request,200,OK,Thread Group 1-161,text,true,,875,452,212,212,http://gryffindor.hogwarts.A49.com/php/home.php,1175,0,161
1730402812334,1381,Login Request-0,302,Found,Thread Group 1-161,text,true,,375,264,212,212,http://gryffindor.hogwarts.A49.com/php/login.php,1175,0,161
1730402813740,316,Login Request-1,200,OK,Thread Group 1-161,text,true,,500,188,212,212,http://gryffindor.hogwarts.A49.com/php/home.php,316,0,0
1730402812169,1889,Login Request,200,OK,Thread Group 1-155,text,true,,875,452,212,212,http://gryffindor.hogwarts.A49.com/php/home.php,1341,0,161
1730402812169,1555,Login Request-0,302,Found,Thread Group 1-155,text,true,,375,264,212,212,http://gryffindor.hogwarts.A49.com/php/login.php,1341,0,161
1730402813740,318,Login Request-1,200,OK,Thread Group 1-155,text,true,,500,188,212,212,http://gryffindor.hogwarts.A49.com/php/home.php,318,0,0
1730402813186,924,Login Request,200,OK,Thread Group 1-185,text,true,,875,452,214,214,http://gryffindor.hogwarts.A49.com/php/home.php,393,0,42
1730402813186,569,Login Request-0,302,Found,Thread Group 1-185,text,true,,375,264,214,214,http://gryffindor.hogwarts.A49.com/php/login.php,393,0,42
1730402813755,355,Login Request-1,200,OK,Thread Group 1-185,text,true,,500,188,214,214,http://gryffindor.hogwarts.A49.com/php/home.php,355,0,0
1730402811522,2589,Login Request,200,OK,Thread Group 1-31,text,true,,875,452,214,214,http://gryffindor.hogwarts.A49.com/php/home.php,1980,0,628
1730402811522,2192,Login Request-0,302,Found,Thread Group 1-31,text,true,,375,264,214,214,http://gryffindor.hogwarts.A49.com/php/login.php,1980,0,628
1730402813739,372,Login Request-1,200,OK,Thread Group 1-31,text,true,,500,188,214,214,http://gryffindor.hogwarts.A49.com/php/home.php,372,0,0
1730402811671,2538,Login Request,200,OK,Thread Group 1-108,text,true,,875,452,217,217,http://gryffindor.hogwarts.A49.com/php/home.php,1863,0,614
1730402811671,2062,Login Request-0,302,Found,Thread Group 1-108,text,true,,375,264,217,217,http://gryffindor.hogwarts.A49.com/php/login.php,1863,0,614
1730402813744,465,Login Request-1,200,OK,Thread Group 1-108,text,true,,500,188,217,217,http://gryffindor.hogwarts.A49.com/php/home.php,465,0,0
1730402811636,2619,Login Request,200,OK,Thread Group 1-107,text,true,,875,452,218,218,http://gryffindor.hogwarts.A49.com/php/home.php,1587,0,518
1730402811636,2150,Login Request-0,302,Found,Thread Group 1-107,text,true,,375,264,218,218,http://gryffindor.hogwarts.A49.com/php/login.php,1587,0,518
1730402813787,468,Login Request-1,200,OK,Thread Group 1-107,text,true,,500,188,218,218,http://gryffindor.hogwarts.A49.com/php/home.php,457,0,0
1730402812637,1984,Login Request,200,OK,Thread Group 1-170,text,false,Test failed: text expected to contain /Logout/,1476,641,218,218,http://gryffindor.hogwarts.A49.com/php/login.php,902,0,76
1730402812637,1096,Login Request-0,302,Found,Thread Group 1-170,text,true,,375,264,218,218,http://gryffindor.hogwarts.A49.com/php/login.php,902,0,76
1730402813742,280,Login Request-1,302,Found,Thread Group 1-170,text,true,,318,188,218,218,http://gryffindor.hogwarts.A49.com/php/home.php,280,0,0
1730402814023,598,Login Request-2,200,OK,Thread Group 1-170,text,true,,783,189,218,218,http://gryffindor.hogwarts.A49.com/php/login.php,598,0,0
1730402811536,3097,Login Request,200,OK,Thread Group 1-80,text,true,,875,452,218,218,http://gryffindor.hogwarts.A49.com/php/home.php,1806,0,671
1730402811536,2754,Login Request-0,302,Found,Thread Group 1-80,text,true,,375,264,218,218,http://gryffindor.hogwarts.A49.com/php/login.php,1806,0,671
1730402814290,343,Login Request-1,200,OK,Thread Group 1-80,text,true,,500,188,218,218,http://gryffindor.hogwarts.A49.com/php/home.php,343,0,0
1730402812990,1645,Login Request,200,OK,Thread Group 1-178,text,false,Test failed: text expected to contain /Logout/,1476,641,218,218,http://gryffindor.hogwarts.A49.com/php/login.php,542,0,62
1730402812990,742,Login Request-0,302,Found,Thread Group 1-178,text,true,,375,264,218,218,http://gryffindor.hogwarts.A49.com/php/login.php,542,0,62
1730402813743,281,Login Request-1,302,Found,Thread Group 1-178,text,true,,318,188,218,218,http://gryffindor.hogwarts.A49.com/php/home.php,281,0,0
1730402814025,610,Login Request-2,200,OK,Thread Group 1-178,text,true,,783,189,218,218,http://gryffindor.hogwarts.A49.com/php/login.php,610,0,0
1730402812792,1844,Login Request,200,OK,Thread Group 1-172,text,false,Test failed: text expected to contain /Logout/,1476,641,218,218,http://gryffindor.hogwarts.A49.com/php/login.php,780,0,27
1730402812792,956,Login Request-0,302,Found,Thread Group 1-172,text,true,,375,264,218,218,http://gryffindor.hogwarts.A49.com/php/login.php,780,0,27
1730402813748,313,Login Request-1,302,Found,Thread Group 1-172,text,true,,318,188,218,218,http://gryffindor.hogwarts.A49.com/php/home.php,313,0,0
1730402813578,1059,Login Request,200,OK,Thread Group 1-195,text,true,,875,452,218,218,http://gryffindor.hogwarts.A49.com/php/home.php,102,0,20
1730402814062,574,Login Request-2,200,OK,Thread Group 1-172,text,true,,783,189,218,218,http://gryffindor.hogwarts.A49.com/php/login.php,574,0,0
